epoch,train_loss,train_mae_norm,val_loss,val_mae_norm,lr
1,0.19403371,0.33272322,0.09454831,0.23251441,0.0009998904513956854
2,0.08405983,0.21296633,0.03378665,0.13321589,0.00099956185363438
3,0.04280623,0.15310907,0.0157945,0.09724903,0.0009990143508499217
4,0.02656563,0.12056042,0.01217842,0.08258571,0.0009982481831951274
5,0.02199323,0.10927731,0.01181793,0.08136611,0.0009972636867364526
6,0.01954788,0.1030885,0.01132832,0.07913043,0.0009960612933065818
7,0.01665767,0.09455363,0.01048607,0.07518654,0.0009946415303150127
8,0.01503246,0.08905635,0.00978058,0.07151561,0.0009930050205167172
9,0.01306487,0.08290884,0.0094365,0.06956255,0.00099115248173898
10,0.01190334,0.07771188,0.00920991,0.06841664,0.0009890847265665358
11,0.01100094,0.07448412,0.00903645,0.06752779,0.0009868026619851433
12,0.01037292,0.07236418,0.00891098,0.06678327,0.000984307288983751
13,0.01005592,0.07024977,0.00881906,0.06592397,0.0009815997021154301
14,0.00971061,0.06842631,0.00876295,0.06519911,0.0009786810890172674
15,0.00933819,0.06716237,0.00869156,0.06464244,0.0009755527298894293
16,0.00912682,0.06584062,0.00861893,0.06400528,0.0009722159969336218
17,0.00899338,0.06511022,0.00857923,0.06372523,0.0009686723537511998
18,0.00895945,0.0646704,0.00855282,0.06365633,0.0009649233547011815
19,0.00878,0.0637477,0.00851742,0.06354067,0.0009609706442184559
20,0.00861537,0.06326352,0.00847956,0.06321892,0.000956815956092479
21,0.00865647,0.06211083,0.00846081,0.06310952,0.0009524611127067767
22,0.0085999,0.06239451,0.00840399,0.06278075,0.0009479080242395866
23,0.00833729,0.06145293,0.00835749,0.06261835,0.0009431586878259915
24,0.00825524,0.06052706,0.00833016,0.06268893,0.0009382151866819096
25,0.00837188,0.06123095,0.00835697,0.06295712,0.0009330796891903268
26,0.00807868,0.0601998,0.00836782,0.06304935,0.0009277544479501729
27,0.00809921,0.060328,0.00836819,0.06299496,0.0009222417987882563
28,0.00783252,0.05895448,0.00834859,0.06277588,0.0009165441597346945
29,0.00810243,0.06009614,0.00835985,0.06294192,0.000910664029962285
30,0.00794496,0.05873212,0.00842833,0.06347609,0.000904603988690286
31,0.00806364,0.05907674,0.00847389,0.06378045,0.0008983666940530858
32,0.00804788,0.05911866,0.00845589,0.06350438,0.0008919548819342568
33,0.00794,0.05848457,0.00844156,0.06323291,0.0008853713647665065
34,0.00795169,0.05826338,0.00846715,0.06335194,0.0008786190302980521
35,0.00783095,0.05804695,0.00845938,0.06324081,0.0008717008403259583
36,0.00781642,0.05785399,0.00843322,0.06302714,0.0008646198293969948
37,0.00764418,0.05720274,0.00842073,0.06286675,0.0008573791034765851
38,0.00772311,0.057418,0.00843162,0.0628612,0.000849981838586426
39,0.00775053,0.05723631,0.00843592,0.0628657,0.0008424312794113799
40,0.00768041,0.05694099,0.00844648,0.06293131,0.0008347307378762496
41,0.00774607,0.05720222,0.00842345,0.06274802,0.0008268835916930577
42,0.0075022,0.05665125,0.00841236,0.06263815,0.0008188932828794705
43,0.00768306,0.05705745,0.00840789,0.06255355,0.0008107633162490161
44,0.00755264,0.05663418,0.00840307,0.0625185,0.0008024972578737563
45,0.00736111,0.05570447,0.00842684,0.0627108,0.0007940987335200903
46,0.00790867,0.05758716,0.00842663,0.0627156,0.0007855714270583738
47,0.00760668,0.05632146,0.00839147,0.06254421,0.0007769190788470505
48,0.00755,0.05619597,0.00836579,0.06241282,0.0007681454840920089
49,0.00745872,0.05562581,0.00835976,0.06238898,0.0007592544911818787
