epoch,train_loss,train_mae_norm,val_loss,val_mae_norm,lr
1,0.06252275,0.60045674,0.02061329,0.23536289,0.0009998904513956854
2,0.04346802,0.4207333,0.01187494,0.14360437,0.00099956185363438
3,0.03508454,0.34683455,0.00984571,0.12557411,0.0009990143508499217
4,0.02882149,0.29228987,0.00938932,0.11946956,0.0009982481831951274
5,0.02477112,0.2568339,0.00918594,0.11843711,0.0009972636867364526
6,0.02043886,0.2166961,0.00978547,0.12399299,0.0009960612933065818
7,0.01703621,0.18639195,0.01043899,0.12989943,0.0009946415303150127
8,0.01468116,0.1662947,0.01034729,0.1275834,0.0009930050205167172
9,0.01196711,0.14178747,0.01026574,0.12484894,0.00099115248173898
10,0.01065512,0.12899666,0.0104427,0.12529923,0.0009890847265665358
11,0.00992932,0.12191301,0.0105485,0.12538469,0.0009868026619851433
12,0.00919001,0.11521953,0.01041066,0.12375389,0.000984307288983751
13,0.00804656,0.10491011,0.01013178,0.12125447,0.0009815997021154301
14,0.00752592,0.09958417,0.00916219,0.11240213,0.0009786810890172674
15,0.00708172,0.09600675,0.00857465,0.10666034,0.0009755527298894293
16,0.00707568,0.09589098,0.00844645,0.10521645,0.0009722159969336218
17,0.00668629,0.09040333,0.0085837,0.10669068,0.0009686723537511998
18,0.00655889,0.08995185,0.00810948,0.10193276,0.0009649233547011815
19,0.00615012,0.08601853,0.00749477,0.09559649,0.0009609706442184559
20,0.00581552,0.08199016,0.00720337,0.09230604,0.000956815956092479
21,0.0057516,0.08197358,0.00720203,0.0917426,0.0009524611127067767
22,0.00557554,0.07955271,0.00701627,0.08949917,0.0009479080242395866
23,0.00518346,0.07513905,0.00620597,0.08149039,0.0009431586878259915
24,0.00500897,0.07423641,0.00542078,0.07394963,0.0009382151866819096
25,0.00508148,0.07423947,0.00571161,0.07663805,0.0009330796891903268
26,0.00484704,0.07077141,0.00610289,0.08028081,0.0009277544479501729
27,0.00468567,0.06947962,0.00564966,0.07575168,0.0009222417987882563
28,0.00470958,0.06893769,0.00516291,0.07099068,0.0009165441597346945
29,0.00437232,0.06626721,0.00485718,0.0680477,0.000910664029962285
30,0.00449414,0.06680095,0.00483849,0.06783979,0.000904603988690286
31,0.00420404,0.06453101,0.00505229,0.06981176,0.0008983666940530858
